run_id,config,dataset,model_id,num_prompts,request_rate,max_concurrency,duration,completed,total_input_tokens,total_output_tokens,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_itl_ms,p99_itl_ms,weights_gib,kv_cache_gib,kv_cache_tokens,max_model_len,max_concurrency_x
awq__prefix,awq,prefix,Qwen/Qwen3-14B-AWQ,1000,5.0,10,222.41139019513503,1000,512028,126953,4.496172606639612,570.8026009307187,2872.9688683631857,110.73423266317695,237.75055547710508,16.523283785964956,16.527799884583615,50.280705727636786,9.44,29.09,190672.0,40960.0,4.66
awq__sharegpt,awq,sharegpt,Qwen/Qwen3-14B-AWQ,2000,10.0,10,643.4475742941722,2000,446619,411886,3.108256336491584,640.1236347060862,1334.2268030798537,75.60189234325662,198.2489623874426,15.294313720430289,15.190181022242605,56.631689728237674,9.44,29.09,190672.0,40960.0,4.66
base__prefix,base,prefix,Qwen/Qwen3-14B,1000,5.0,10,562.5111388750374,1000,512028,126769,1.7777425741290989,225.3626483797717,1135.6166231259458,150.15672245481983,209.4579976471141,43.150630135522476,43.151041042035196,60.2260066755116,27.52,11.06,72496.0,40960.0,1.77
base__sharegpt,base,sharegpt,Qwen/Qwen3-14B,2000,10.0,10,1782.8066491200589,2000,446619,411539,1.1218266439533089,230.8377076129504,481.35225456084186,145.20374358585104,234.6465854626149,42.516413742506614,42.44796382584084,75.56167323142289,27.52,11.06,72496.0,40960.0,1.77
tuned__prefix,tuned,prefix,Qwen/Qwen3-14B-AWQ,1000,5.0,10,222.925236787647,1000,512028,127124,4.4858088496843225,570.2539642072697,2867.113697893434,104.51323336316273,187.08908756729215,16.603191472673466,16.603054514839954,51.24408365692944,9.44,30.03,196784.0,40960.0,4.8
tuned__sharegpt,tuned,sharegpt,Qwen/Qwen3-14B-AWQ,2000,10.0,10,642.1213613618165,2000,446619,410824,3.114676010401496,639.7918286485921,1335.328571193345,73.81150821014307,192.6236316934228,15.311885200476327,15.207129282695023,57.71129753440648,9.44,30.03,196784.0,40960.0,4.8
